river,station,target,nse,rmse,mae,r2,pbias,n_test,nse_obs,rmse_obs,n_obs
han,S01001,do,0.4038573963815142,2.4074667826302956,1.6487767092479948,0.4347484613363521,5.198377398194532,448,-0.16100454949573573,2.0595822281005716,391
han,S01001,toc,0.3825918986273633,0.3467239384905975,0.2316105002017371,0.3942994380564126,3.050818273802639,448,0.16137559800854395,0.30937316183227725,376
han,S01001,tn,0.32332569938473876,0.528349335670683,0.343762540934546,0.334566408668893,-2.535315242669171,448,-0.8849704785886021,0.41063741704933643,384
han,S01001,tp,0.2270344167251681,0.0024715081173184482,0.001585669227313025,0.2597166644007319,-3.5247204118847906,448,0.11442208482989291,0.0026643620984902615,363
han,S01001,chl-a,0.23949885491485767,8.804573905477449,4.864268069789615,0.3082193124092499,21.74376669636942,448,0.17775107144157976,9.532082429614054,402
han,S01002,do,0.5400741926777325,2.2535629816010894,1.6342053845495845,0.5487690105355528,3.265801558347164,447,-0.13480750849676104,2.0916060570187684,389
han,S01002,toc,0.4289347139247748,0.48736036930357096,0.40172642553196636,0.538174151281134,-11.629282062355662,447,0.4842505569065152,0.5116935741593035,364
han,S01002,tn,0.46843410743825276,0.5692419882625088,0.41805750833095956,0.4973954564961141,1.9711578703644028,447,-0.24451419808077612,0.6194956133345771,335
han,S01002,tp,0.1478506650816993,0.02395931362678944,0.01317300965476374,0.1725279167803612,10.356919024938295,447,0.043031780840080636,0.031222875509245854,354
han,S01002,chl-a,0.5667414883656299,12.65623458940918,6.357375415449755,0.6514979997289009,14.055091095209413,447,0.5599122089377789,13.950545525427975,391
han,S01003,do,0.2412954882400511,1.8357059352728915,1.3307110057538551,0.26641232633607503,2.2763367912045513,448,0.1177127726124435,1.7205781418078183,445
han,S01003,toc,0.3959177336232441,0.45754710367323953,0.32962739125978235,0.44623023648951654,5.372042015893147,448,0.37068565260475106,0.45397707595807685,444
han,S01003,chl-a,0.3790047007334594,42.38969124802208,20.86781915839512,0.6194635119234334,39.669719959423446,448,0.3381267399166349,47.41262435100839,420
han,S01004,do,0.6016741116323723,1.7019404177959596,1.27765349904652,0.6606317292243793,5.638174105405637,448,0.47410911777143094,1.631708078853915,434
han,S01004,toc,0.12672978246507238,0.3996220530802333,0.25423932831033863,0.20496122649706366,5.1116508017816065,448,-0.04323092824812358,0.43689339779356773,434
han,S01005,do,0.2795985852350529,2.297418710778479,1.3799205064819813,0.30421169920644,-2.937810788553764,448,0.6361156942331048,1.2975568778861652,411
han,S01005,toc,0.0897123222570354,0.6164982441003295,0.423797548039616,0.1096277820388832,-3.4870923036134776,448,-0.29793713228659,0.5496663052483926,365
han,S01005,tn,0.17182653024177574,0.7069858271491728,0.5317071304182617,0.18417624242115752,2.762598702500581,448,-0.9941782672293002,0.6970467195728738,356
han,S01005,tp,0.17549114401128052,0.018347884679817978,0.010760700208135642,0.18405705782457646,-3.0297156688406663,448,0.10597755057463043,0.025073837778798205,370
han,S01005,chl-a,0.2668043656404374,4.515821894563204,2.93869581759131,0.2795102786271959,-6.129417013704701,448,0.2960206176277108,4.656161333720191,416
han,S01006,do,0.14551443398103958,1.7305444212564702,1.277107022764408,0.32639862313058154,-8.465191019572263,442,-0.16980424971670005,1.2764365803263915,410
han,S01006,toc,0.031643465608953036,0.6644670721882845,0.4322684870849129,0.12859623147939728,11.160821189406201,442,-0.26676715940713813,0.7377613641939547,405
